,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
331,63.27,64.8,62.81,64.03,26720600,'BRL',0,VALE3,2021-08-23
332,65.55,69.02,65.15,67.59,44643500,'BRL',0,VALE3,2021-08-22
333,70.61,71.97,69.21,69.37,30391600,'BRL',0,VALE3,2021-08-21
334,70.11,70.98,69.51,70.98,20764100,'BRL',0,VALE3,2021-08-20
335,71.29,71.29,69.8,70.5,17199200,'BRL',0,VALE3,2021-08-19
336,67.5,69.36,67.5,68.64,22664200,'BRL',0,VALE3,2021-08-18
337,70.28,70.6,69.16,69.5,18163800,'BRL',0,VALE3,2021-08-17
338,69.0,71.47,68.69,69.95,42666200,'BRL',0,VALE3,2021-08-16
339,71.3,71.95,69.97,70.23,28194700,'BRL',0,VALE3,2021-08-15
340,70.97,73.56,70.11,73.49,24888400,'BRL',0,VALE3,2021-08-14
341,73.09,74.34,71.0,71.87,34451500,'BRL',0,VALE3,2021-08-13
342,72.87,75.99,71.96,75.77,28848800,'BRL',0,VALE3,2021-08-12
343,78.28,79.81,76.1,76.33,37124300,'BRL',0,VALE3,2021-08-11
344,76.99,76.99,74.98,75.76,24278100,'BRL',0,VALE3,2021-08-10
345,74.89,75.95,74.45,75.18,16925200,'BRL',0,VALE3,2021-08-09
346,75.5,76.2,74.84,75.65,16827100,'BRL',0,VALE3,2021-08-08
347,77.5,78.73,77.39,77.86,31699100,'BRL',0,VALE3,2021-08-07
348,78.52,78.89,77.23,77.85,21063500,'BRL',0,VALE3,2021-08-06
349,78.08,78.18,76.2,77.41,21988800,'BRL',0,VALE3,2021-08-05
350,79.0,80.46,78.46,80.44,30125700,'BRL',0,VALE3,2021-08-04
351,79.9,80.67,79.07,79.17,38488000,'BRL',0,VALE3,2021-08-03
352,78.0,78.9,77.28,78.28,19195400,'BRL',0,VALE3,2021-08-02
353,79.8,80.39,79.15,80.34,19590300,'BRL',0,VALE3,2021-08-01
354,79.89,80.15,78.58,79.92,18655600,'BRL',0,VALE3,2021-07-31
355,79.95,80.06,78.8,79.15,13121200,'BRL',0,VALE3,2021-07-30
356,78.87,79.45,78.26,78.95,11371400,'BRL',0,VALE3,2021-07-29
357,78.51,78.53,76.57,76.8,18921200,'BRL',0,VALE3,2021-07-28
